EX302
Date:,2025/01/17
Time:,11:36:53
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HIP_R_X,HIP_R_Y,HIP_R_Z,KNE_R_X,KNE_R_Y,KNE_R_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,KNE_L_X,KNE_L_Y,KNE_L_Z
1208,86.508492,604.550720,82.623543,-146.857819,597.875488,394.619171,91.697723,225.336975,62.029144,-157.122803,218.780579,382.345764
1209,86.450470,604.530396,82.666267,-146.912018,597.770325,394.639374,91.634674,225.426895,62.081219,-157.116547,219.064697,382.312592
1210,86.427109,604.574158,82.718079,-146.989868,597.585205,394.643402,91.585327,225.416840,62.177074,-157.215820,219.443161,382.338135
1211,86.400635,604.668762,82.861282,-147.058182,597.424744,394.633850,91.576324,225.445068,62.162331,-157.416183,219.816681,382.450226
1212,86.344612,604.630676,82.905861,-147.163055,597.246826,394.650879,91.533348,225.471939,62.154881,-157.468307,220.071808,382.465363
1213,86.338165,604.609009,82.976738,-147.284561,597.060791,394.638092,91.498802,225.509491,62.211807,-157.628021,220.293594,382.519562
1214,86.355843,604.612671,83.051117,-147.349121,596.877380,394.629486,91.505508,225.509460,62.233204,-157.687347,220.495193,382.495117
1215,86.309219,604.619873,83.123634,-147.420578,596.758179,394.646484,91.513641,225.522598,62.255928,-157.673676,220.650696,382.406860
1216,86.273125,604.578857,83.105133,-147.459595,596.611694,394.650635,91.497810,225.470352,62.283321,-157.686874,220.747696,382.428711
1217,86.243088,604.570679,83.197952,-147.485046,596.493958,394.616150,91.511116,225.483383,62.324615,-157.689560,220.837738,382.397766
1218,86.215561,604.551575,83.191811,-147.474915,596.389587,394.645691,91.522362,225.456680,62.346169,-157.675507,220.906876,382.367065
1219,86.209373,604.504395,83.172447,-147.475540,596.273193,394.621185,91.516258,225.473282,62.393059,-157.661087,220.959305,382.361877
1220,86.150017,604.478088,83.233276,-147.520844,596.201477,394.656921,91.559906,225.435699,62.412632,-157.639114,221.008514,382.381714
1221,86.117203,604.426758,83.271973,-147.531677,596.106506,394.703613,91.568153,225.406418,62.436062,-157.649567,221.016174,382.414978
1222,86.089218,604.364136,83.299843,-147.522491,595.973572,394.709015,91.539635,225.376328,62.436626,-157.644043,221.017792,382.411438
1223,86.110718,604.267517,83.282051,-147.505280,595.876770,394.717194,91.599640,225.280090,62.436768,-157.741470,221.026047,382.464020
