EX201
Date:,2025/01/17
Time:,10:52:17
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,ANK_R_X,ANK_R_Y,ANK_R_Z,HIP_R_X,HIP_R_Y,HIP_R_Z,ANK_L_X,ANK_L_Y,ANK_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,HEA_R_X,HEA_R_Y,HEA_R_Z,HAN_R_X,HAN_R_Y,HAN_R_Z,HEA_L_X,HEA_L_Y,HEA_L_Z,HAN_L_X,HAN_L_Y,HAN_L_Z
1089,625.274414,608.013977,-3.584397,219.602570,625.340271,342.507202,624.677856,290.397400,6.541911,225.440460,250.090897,360.771667,-438.344025,513.997131,500.030853,-350.517090,633.176941,-43.922466,-429.539429,370.132843,499.039001,-350.974792,237.921371,-43.100979
1090,625.346313,608.094910,-3.599308,219.228851,625.315552,342.465637,624.733276,290.419556,6.458094,224.986633,250.192566,360.864899,-438.775421,513.992737,500.815491,-350.496399,633.149475,-43.909386,-429.995972,370.137817,500.166138,-350.976044,237.942108,-43.077305
1091,625.324402,608.148315,-3.606109,218.721344,625.429993,342.474335,624.810364,290.375519,6.367295,224.557022,250.290848,360.947784,-439.297180,514.057251,501.672119,-350.477295,633.182983,-43.895130,-430.315704,370.286987,501.020844,-351.014069,237.938583,-43.100502
1092,625.329895,608.207397,-3.641756,218.250366,625.511841,342.451630,624.837646,290.310394,6.328358,224.360336,250.367874,360.973969,-439.937622,514.335449,502.985107,-350.491730,633.294983,-43.897442,-431.166016,370.145264,502.078705,-350.989349,237.939423,-43.091537
1093,625.367249,608.309631,-3.655646,217.804382,625.526917,342.471527,624.901306,290.230011,6.237182,223.912781,250.550446,360.947235,-440.433136,514.322510,504.059387,-350.467743,633.322998,-43.959633,-431.752136,369.953156,503.076843,-350.978210,237.887421,-43.102901
1094,625.411377,608.380432,-3.648122,217.429535,625.490295,342.499847,625.011169,290.165009,6.088096,223.147079,250.618729,360.908813,-440.892853,514.312378,505.162872,-350.440430,633.377441,-43.975395,-431.813507,370.039032,503.921875,-350.978210,237.886429,-43.103222
1095,625.424011,608.465332,-3.704152,216.994415,625.482117,342.603271,625.157776,290.076599,5.945213,222.545609,250.573227,361.083252,-441.422485,514.298767,505.985229,-350.463440,633.440857,-43.989037,-432.234467,370.162445,505.446442,-351.005676,237.899368,-43.102722
1096,625.383728,608.483948,-3.806780,216.481369,625.511108,342.637970,625.151733,289.928070,5.798238,221.621170,250.765717,361.088226,-441.957794,514.225891,506.834625,-350.514923,633.494873,-43.972248,-432.372009,370.296234,506.042114,-351.003418,237.890915,-43.117100
1097,625.333435,608.546936,-3.907283,215.913696,625.538330,342.586975,625.198669,289.743988,5.656325,221.122360,250.814926,360.941254,-442.437408,514.074768,507.717255,-350.495392,633.553223,-44.019444,-433.168976,370.178558,506.921844,-351.009460,237.875931,-43.114021
1098,625.395264,608.593872,-4.013822,215.326233,625.424255,342.433716,625.206360,289.557953,5.297438,220.478821,250.690475,360.974579,-443.104736,514.144043,509.062103,-350.469269,633.565979,-43.997383,-433.547333,370.317841,507.709412,-350.999237,237.856171,-43.113163
1099,625.441101,608.661743,-4.010058,214.690216,625.395081,342.400146,625.257080,289.262817,4.893564,219.927109,250.689133,360.854950,-443.517944,514.247498,510.110291,-350.457153,633.544800,-43.992897,-434.283997,369.987122,509.448944,-350.973541,237.873123,-43.085354
1100,625.348206,608.741333,-4.173509,214.072800,625.409668,342.432281,625.348450,289.054382,4.544761,218.938461,250.660965,360.634857,-444.369965,514.287781,511.265472,-350.527771,633.594666,-44.017120,-434.559479,369.699677,510.352539,-351.003723,237.908447,-43.097797
1101,625.340393,608.790100,-4.342186,213.450027,625.339417,342.366364,625.443542,288.867737,4.312428,218.248016,250.556366,360.775238,-445.237427,514.313354,512.266602,-350.530151,633.607178,-44.018585,-435.076080,369.722382,511.216980,-351.038940,237.905518,-43.106991
1102,625.478821,608.809204,-4.434378,212.806000,625.242188,342.316162,625.500427,288.709137,4.079066,217.356308,250.392929,360.976501,-445.860748,514.079285,513.017090,-350.531769,633.607605,-44.034714,-435.933441,369.772797,512.232910,-350.979248,237.887039,-43.103016
1103,625.552124,608.851440,-4.516675,212.147018,625.217896,342.371063,625.485474,288.519226,3.754279,216.665237,250.679245,360.868591,-446.688110,513.873535,513.918152,-350.505127,633.619385,-44.043640,-436.689484,369.859833,513.186707,-350.977753,237.886765,-43.103184
1104,625.593750,608.924866,-4.718458,211.524368,625.300232,342.480652,625.478394,288.191315,3.474248,215.498032,250.633530,360.983063,-447.599762,513.564880,514.800537,-350.507233,633.659180,-44.023609,-437.331757,369.838165,513.803650,-350.989990,237.897552,-43.102337
1105,625.611938,608.981262,-4.964911,210.886078,625.349243,342.468475,625.549072,287.833588,3.265975,214.652039,250.407944,361.017151,-448.298157,513.565125,515.688110,-350.524628,633.665894,-44.057312,-438.750946,369.593170,515.017090,-351.014740,237.881775,-43.095806
1106,625.729126,609.021606,-5.089501,210.410385,625.263367,342.393524,625.605103,287.535614,3.061707,214.026703,250.498962,360.891266,-449.448547,513.592224,516.757568,-350.510925,633.639832,-44.081322,-439.372131,369.647034,515.484558,-350.946259,237.822952,-43.124393
1107,625.871826,609.037781,-5.278672,209.893097,625.172241,342.423401,625.690857,287.140320,2.943525,212.786026,250.820419,360.754639,-450.411987,513.664490,517.569275,-350.475800,633.622192,-44.092613,-439.999329,369.633636,516.155273,-350.949615,237.787201,-43.102890
1108,625.951965,609.142639,-5.407418,209.191788,625.082520,342.305695,625.738342,286.647888,2.857002,211.850616,250.811707,360.891052,-451.243011,513.538086,518.240601,-350.504913,633.550598,-44.043049,-441.416290,369.190216,517.154358,-350.965057,237.747589,-43.095058
1109,625.995056,609.247864,-5.600215,208.418228,624.997375,342.136017,625.757935,286.195465,2.818591,211.343826,250.653519,360.913422,-452.465057,513.633850,519.030457,-350.501709,633.554565,-44.056450,-442.494995,369.354309,518.037415,-350.989502,237.756821,-43.107132
1110,626.030762,609.294617,-5.708920,207.876816,625.094788,342.172150,625.682556,285.987030,2.720523,210.248520,250.617874,360.743561,-453.644531,513.546326,519.631042,-350.511932,633.545837,-44.054993,-443.497894,369.527679,518.492371,-350.951019,237.710663,-43.118473
1111,626.155579,609.381470,-5.804031,207.213486,625.150879,342.185486,625.726868,285.743073,2.353539,209.342606,250.704590,360.481506,-454.843597,513.333374,519.946838,-350.498291,633.532410,-44.058567,-444.781494,369.287598,519.012390,-350.913147,237.624680,-43.152325
1112,626.171448,609.504272,-5.904705,206.396027,625.162415,342.098389,625.781372,285.417633,1.923513,208.267548,250.577744,360.402618,-455.997925,513.056641,520.350891,-350.496490,633.544556,-44.078133,-446.070648,369.152130,519.359497,-350.926208,237.597931,-43.180237
1113,626.164429,609.574768,-5.970129,205.747238,625.106323,342.179535,625.846680,285.175049,1.534905,207.497849,250.288437,360.371582,-457.644531,513.250488,520.677979,-350.554382,633.492310,-44.076202,-447.258728,369.408051,519.408264,-350.942596,237.532516,-43.158413
1114,626.154846,609.688049,-6.047167,205.060364,624.961243,342.078308,625.933960,285.025818,1.282357,206.451859,250.329254,360.119751,-458.937744,513.277100,520.741760,-350.521149,633.431274,-44.084965,-448.855835,369.289276,520.023499,-350.916656,237.451416,-43.183029
1115,626.154663,609.726135,-6.093431,204.294830,624.830444,342.064178,625.977966,284.845856,1.052040,205.516663,250.102341,360.046356,-460.094666,513.196106,520.924500,-350.537201,633.363281,-44.041298,-450.138458,369.412842,520.018250,-350.883728,237.346848,-43.235470
1116,626.171326,609.736450,-6.183487,203.578552,624.748352,342.009674,626.077271,284.450226,0.823709,204.590652,249.929962,360.180695,-461.345062,513.455017,521.335205,-350.578339,633.276367,-44.037243,-451.386719,369.294281,520.117859,-350.860138,237.265045,-43.238529
1117,626.200989,609.784607,-6.339977,202.656509,624.691284,341.810852,626.300842,283.940582,0.656119,203.206177,250.279907,359.921967,-462.998962,513.615417,521.616699,-350.625946,633.232971,-44.020157,-452.872284,369.351532,520.059937,-350.858795,237.228104,-43.231499
1118,626.267578,609.883911,-6.540192,201.770752,624.838562,341.770111,626.459900,283.446747,0.594491,202.469315,250.345978,359.801575,-464.397980,513.687866,521.484863,-350.682953,633.254517,-44.045723,-454.167999,369.473999,520.227600,-350.891479,237.147400,-43.285164
1119,626.442566,609.949890,-6.907715,200.815872,624.986877,341.662201,626.606140,283.120270,0.514408,201.136398,250.274979,359.578156,-465.689911,513.717651,521.393982,-350.720276,633.250366,-44.051800,-455.324524,369.768646,519.941528,-350.898346,237.091949,-43.328098
1120,626.652161,610.074219,-7.338511,199.816254,625.006287,341.661011,626.550598,282.781738,0.212333,200.028839,250.346817,359.351257,-466.911835,513.789185,521.412292,-350.796387,633.218079,-44.065350,-456.783569,369.645294,520.354309,-350.911346,236.988342,-43.400574
1121,626.717529,610.179688,-7.959109,198.763916,624.922058,341.681366,626.502686,282.480255,-0.024389,198.942444,250.046631,359.530304,-468.361206,513.720886,521.126587,-350.886475,633.214539,-44.055286,-458.388031,369.776825,520.616272,-350.970825,236.809723,-43.436169
1122,626.712952,610.314636,-8.551628,197.733200,625.032471,341.604858,626.571838,282.076447,-0.336871,197.624176,250.151016,359.261841,-469.766174,514.108643,521.428284,-350.961609,633.198853,-44.067539,-459.467560,370.524384,520.171936,-351.030518,236.636551,-43.456753
1123,626.620911,610.352905,-9.017507,196.374756,625.300293,341.492310,626.642456,281.664642,-0.650925,196.428452,250.614609,358.974701,-470.958069,514.398193,521.617493,-351.000336,633.108765,-44.069504,-460.702301,370.367432,520.236938,-351.075378,236.418564,-43.567570
1124,626.485901,610.530090,-9.513490,195.279221,625.412842,341.260559,626.527405,281.032227,-0.816678,195.361877,250.974838,358.712128,-472.160187,514.465332,521.517883,-351.028015,633.057922,-44.080559,-461.993591,370.624268,520.406494,-351.139099,236.202408,-43.627769
1125,626.483582,610.773254,-10.107232,194.012192,625.733948,341.321960,626.445557,280.543243,-1.387687,194.031647,250.975021,358.556641,-473.751617,514.879028,521.646973,-351.016693,633.018433,-44.061485,-463.434998,370.903656,520.862244,-351.196655,236.097290,-43.602001
1126,626.348267,611.196350,-10.740652,192.703934,626.041687,341.084045,626.346680,280.010773,-1.999762,192.936920,250.765518,358.962708,-474.818817,515.143250,521.870605,-351.048004,632.976685,-44.045780,-464.518311,371.317047,521.288330,-351.204529,236.065842,-43.593369
1127,626.120483,611.605835,-11.400251,191.258087,626.423035,341.137085,626.523682,279.480530,-2.471484,191.841354,251.282104,358.723846,-475.925018,515.504150,522.253906,-351.075256,633.001526,-44.057053,-465.801666,371.571442,521.814453,-351.249725,236.002762,-43.604706
1128,625.886597,612.109192,-12.431249,189.932541,626.680115,341.217804,626.550415,279.011414,-2.795606,190.931137,252.004807,358.274567,-477.483856,516.025574,522.871216,-351.105377,633.098816,-44.129040,-467.038300,372.104553,522.019897,-351.242401,235.958588,-43.658352
