EX104
Date:,2025/01/17
Time:,12:08:01
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HIP_R_X,HIP_R_Y,HIP_R_Z,ILIAC_R_X,ILIAC_R_Y,ILIAC_R_Z,ILIAC_L_X,ILIAC_L_Y,ILIAC_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z
1113,-207.717575,473.839905,428.171631,-249.261551,384.965210,510.841766,-248.608475,144.714172,502.006714,-188.932617,61.756397,426.209747
1114,-207.907181,473.969360,428.239990,-249.809067,385.050964,510.677490,-249.299988,144.693741,501.879791,-189.319962,61.499786,426.403687
1115,-208.138260,474.099274,428.326141,-250.489594,385.089417,510.392029,-250.020081,144.572037,501.734467,-189.659363,61.287598,426.436798
1116,-208.328903,474.205597,428.423462,-251.331177,384.942657,510.191315,-251.019028,144.469345,501.557037,-189.954895,60.984333,426.547668
1117,-208.524536,474.358521,428.560852,-252.529724,385.061768,510.360657,-251.741669,144.418427,501.221130,-190.304657,60.893211,426.577026
1118,-208.728989,474.445496,428.658051,-253.028549,384.911804,509.968018,-252.335602,144.377762,500.949463,-190.651093,60.851269,426.637177
1119,-209.049316,474.546448,428.794983,-253.695236,384.985565,509.675842,-253.060913,144.498505,500.810059,-190.990479,60.881424,426.702820
1120,-209.233551,474.585938,428.879822,-254.636612,384.802765,509.318970,-253.932770,144.502411,500.606293,-191.403214,60.817169,426.857330
1121,-209.408630,474.589569,428.999054,-255.412079,384.738983,509.098083,-254.483932,144.413422,500.422058,-191.767990,60.748978,426.941162
1122,-209.607269,474.625824,429.055450,-255.947021,384.784363,508.914185,-255.116043,144.403442,500.245422,-192.130753,60.701855,427.030304
1123,-209.826797,474.697144,429.128967,-256.394165,384.797333,508.806641,-255.897903,144.448532,500.063690,-192.463821,60.614235,427.061462
1124,-209.983276,474.653564,429.146637,-257.302063,384.713379,508.680939,-256.586304,144.557770,500.112701,-192.731522,60.483513,427.079315
1125,-210.191086,474.687653,429.254761,-258.036621,384.675323,508.570648,-257.033661,144.544678,499.841675,-193.053772,60.452053,427.087708
1126,-210.400818,474.649628,429.410034,-258.546448,384.657440,508.205475,-257.585510,144.474121,499.539917,-193.392319,60.339176,427.184540
1127,-210.564484,474.684387,429.478699,-259.042480,384.704193,507.910553,-258.218353,144.405334,499.242523,-193.601196,60.177536,427.303925
1128,-210.668091,474.632324,429.528381,-259.338165,384.657349,507.733765,-258.753387,144.374954,499.099670,-193.967667,60.080357,427.392151
1129,-210.736801,474.588531,429.567688,-259.970581,384.430115,507.476288,-259.213287,144.269012,499.061462,-194.374481,59.937263,427.474945
1130,-210.808624,474.592621,429.680725,-260.596008,384.339081,507.304932,-259.626892,144.255539,498.917938,-194.645859,59.895138,427.505707
1131,-210.899124,474.628052,429.754272,-261.089844,384.455536,507.162231,-260.056427,144.283737,498.807587,-194.778259,59.813969,427.542725
1132,-210.913147,474.653442,429.821594,-261.466187,384.547882,507.027130,-260.453003,144.331680,498.682648,-194.868454,59.809021,427.522827
1133,-210.900375,474.644714,429.868439,-261.818237,384.579315,506.850891,-260.758636,144.314651,498.593719,-194.967896,59.726406,427.610229
1134,-210.865768,474.702850,429.956360,-262.092896,384.610413,506.704071,-261.165680,144.308212,498.509155,-195.035965,59.660812,427.600525
1135,-210.906570,474.787750,430.108643,-262.370239,384.605774,506.576874,-261.586334,144.296600,498.418091,-195.090927,59.611614,427.642151
1136,-210.866119,474.838470,430.222107,-262.626923,384.563354,506.496704,-262.034363,144.310135,498.251343,-195.108719,59.541824,427.723145
1137,-210.758530,474.899506,430.314026,-262.990326,384.568298,506.360931,-262.309509,144.298630,498.171509,-195.162857,59.504429,427.792633
1138,-210.667435,474.972839,430.412506,-263.499786,384.447723,506.210785,-262.567871,144.341309,498.049927,-195.183640,59.516319,427.867828
1139,-210.591965,475.002350,430.514008,-263.855133,384.431030,506.063812,-262.870026,144.389862,497.930237,-195.191177,59.473064,427.952667
1140,-210.557877,475.061340,430.602875,-263.871613,384.448730,505.715790,-263.115936,144.439926,497.703461,-195.271027,59.477669,428.081543
1141,-210.547882,475.081329,430.635742,-264.179138,384.583374,505.518921,-263.449615,144.427704,497.460358,-195.319000,59.480656,428.135010
1142,-210.504318,475.158051,430.698792,-264.491943,384.676788,505.294464,-263.917603,144.457733,497.286896,-195.413223,59.480335,428.190460
1143,-210.537003,475.216705,430.815491,-264.880554,384.785492,505.195313,-264.401337,144.572906,497.090393,-195.554657,59.475281,428.312744
1144,-210.593445,475.232666,430.841522,-264.884979,384.792145,504.905365,-264.824890,144.663651,497.017242,-195.696136,59.463211,428.386810
1145,-210.684464,475.235016,430.902466,-265.309540,384.851746,504.822266,-265.230194,144.722794,496.936401,-195.933640,59.468800,428.483185
1146,-210.812759,475.175201,430.873993,-265.891479,384.815948,504.699829,-265.569305,144.811676,496.881653,-196.137772,59.491920,428.559845
1147,-210.932327,475.151123,430.877899,-266.592987,384.806793,504.770111,-265.946930,144.909393,496.850525,-196.318604,59.528004,428.559906
1148,-211.071869,475.165131,430.873505,-266.900635,384.794647,504.746979,-266.269318,144.977829,496.842529,-196.466827,59.543339,428.592072
1149,-211.236282,475.144440,430.843140,-267.105499,384.860107,504.710693,-266.713989,145.025162,496.863342,-196.764557,59.631062,428.658142
1150,-211.409760,475.167755,430.850250,-267.307648,384.932098,504.602417,-267.195709,145.032257,496.793610,-197.085281,59.722569,428.702911
1151,-211.550369,475.182648,430.846649,-267.387512,384.923706,504.149323,-267.588257,145.068268,496.668549,-197.337128,59.795628,428.704285
1152,-211.698929,475.250854,430.862244,-267.725494,385.052856,503.976593,-267.873199,145.119553,496.545349,-197.539902,59.863728,428.683014
1153,-211.887100,475.308472,430.887665,-268.099945,385.168335,503.967865,-268.203186,145.243591,496.445831,-197.706268,59.919071,428.709503
1154,-212.027969,475.285553,430.904724,-268.353729,385.222076,503.963287,-268.503876,145.306503,496.343781,-197.855988,59.966919,428.690186
1155,-212.073090,475.280243,430.890991,-268.603363,385.270294,503.879272,-268.760376,145.397644,496.243988,-197.965775,59.979107,428.732056
1156,-212.188690,475.296326,430.934540,-268.855682,385.240753,503.801483,-268.981110,145.386658,496.163635,-198.092529,59.989655,428.761261
