EX202
Date:,2025/01/17
Time:,11:00:53
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,ANK_R_X,ANK_R_Y,ANK_R_Z,HIP_R_X,HIP_R_Y,HIP_R_Z,ANK_L_X,ANK_L_Y,ANK_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,HEA_R_X,HEA_R_Y,HEA_R_Z,HAN_R_X,HAN_R_Y,HAN_R_Z,HEA_L_X,HEA_L_Y,HEA_L_Z,HAN_L_X,HAN_L_Y,HAN_L_Z
1058,523.817993,620.853943,3.307848,153.357574,632.359253,339.710266,534.249512,313.245819,8.155438,178.518906,255.667328,360.388824,-494.203033,504.387909,514.981506,-340.581787,622.297913,-44.728783,-480.476898,360.615540,511.439667,-340.461761,237.059906,-44.395729
1059,523.852173,620.723938,3.254372,153.516876,632.393250,339.708862,534.232727,313.283997,8.127733,178.537338,255.721710,360.387238,-494.206238,504.526001,514.940796,-340.558044,622.339722,-44.683296,-480.479309,360.701477,511.472382,-340.432678,237.042969,-44.403511
1060,523.855835,620.674561,3.295937,153.534546,632.456360,339.710144,534.147888,313.317505,8.191390,178.506149,255.824692,360.406616,-494.283081,504.639252,514.910950,-340.502472,622.367004,-44.645374,-480.455353,360.727264,511.498688,-340.421509,237.030014,-44.413239
1061,523.864258,620.659058,3.316920,153.554779,632.567566,339.724060,534.053650,313.375854,8.203537,178.517441,255.951492,360.375244,-494.335419,504.753723,514.807861,-340.485504,622.385864,-44.631477,-480.430817,360.797302,511.459717,-340.461426,237.053329,-44.386673
1062,523.906494,620.672607,3.363835,153.640198,632.619751,339.670227,533.962280,313.440277,8.235311,178.455750,256.007904,360.396149,-494.340363,504.842957,514.735596,-340.458618,622.417664,-44.641754,-480.392792,361.026093,511.343445,-340.459747,237.074936,-44.399029
1063,523.976807,620.596191,3.345073,153.777512,632.709229,339.705322,533.860657,313.576111,8.245564,178.480331,256.072937,360.387512,-494.264160,504.974152,514.732849,-340.476959,622.406250,-44.655739,-480.465820,361.229401,511.120636,-340.441498,237.051193,-44.384090
1064,524.064636,620.566895,3.379021,153.850250,632.762512,339.622589,533.800537,313.738953,8.189651,178.472458,256.110779,360.421326,-494.264862,505.046631,514.737610,-340.455261,622.420654,-44.664585,-480.421143,361.326477,511.135406,-340.441315,237.050461,-44.383518
1065,524.005127,620.555847,3.401721,153.969864,632.864075,339.635925,533.677673,313.892944,8.123819,178.405899,256.199280,360.405518,-494.252258,505.118408,514.696655,-340.445465,622.451233,-44.648849,-480.342865,361.464630,511.042542,-340.447693,237.081680,-44.383076
1066,524.038940,620.531372,3.396756,154.058090,632.941528,339.584412,533.562134,314.064514,8.153616,178.427368,256.307953,360.383545,-494.213593,505.267029,514.710144,-340.431488,622.438660,-44.652409,-480.209991,361.644165,510.942108,-340.448822,237.119293,-44.390434
1067,524.091980,620.515320,3.361099,154.157669,633.070007,339.570831,533.381165,314.193939,8.209496,178.453842,256.362579,360.350616,-494.098541,505.326080,514.698364,-340.415771,622.404175,-44.636284,-480.135010,361.816803,510.832733,-340.466553,237.097870,-44.403149
1068,524.125793,620.490723,3.419100,154.231766,633.134033,339.533661,533.313110,314.310822,8.225020,178.488037,256.463409,360.305847,-494.049225,505.342224,514.686279,-340.355591,622.440613,-44.657475,-480.040192,361.944153,510.803314,-340.460510,237.112000,-44.407211
1069,524.128540,620.475586,3.482346,154.365356,633.181763,339.505005,533.263733,314.412323,8.252592,178.589890,256.576477,360.221954,-493.974060,505.452911,514.697815,-340.352753,622.469116,-44.640190,-479.937561,362.025574,510.732330,-340.448730,237.119461,-44.390854
1070,524.131042,620.392395,3.502878,154.454849,633.259216,339.507324,533.148743,314.475922,8.261151,178.631042,256.724762,360.159576,-493.840057,505.431519,514.616028,-340.350403,622.486938,-44.604935,-479.864258,362.119904,510.725189,-340.454834,237.097366,-44.351597
1071,524.198792,620.359619,3.508027,154.595642,633.319397,339.480988,533.062988,314.508240,8.271559,178.795990,256.824188,360.079956,-493.751770,505.460175,514.656494,-340.350525,622.487000,-44.604271,-479.803528,362.209442,510.699097,-340.455597,237.098358,-44.387489
1072,524.288513,620.274536,3.515980,154.734985,633.371948,339.379059,533.058472,314.605408,8.305369,178.992325,256.955322,360.069305,-493.689087,505.534546,514.695007,-340.296692,622.506592,-44.623550,-479.735474,362.225281,510.678711,-340.455200,237.098724,-44.389103
1073,524.325378,620.197449,3.485229,154.859329,633.492615,339.405121,533.029907,314.618591,8.296466,179.175644,257.108429,360.000488,-493.595612,505.541443,514.658752,-340.269775,622.542664,-44.614170,-479.657898,362.262512,510.664581,-340.459564,237.127197,-44.386620
1074,524.398132,620.122009,3.526187,154.998657,633.619507,339.467255,532.987061,314.651855,8.341656,179.387878,257.203918,359.953156,-493.527222,505.529877,514.670532,-340.213318,622.607849,-44.600151,-479.559082,362.287659,510.650024,-340.443878,237.106171,-44.372105
1075,524.402283,620.000610,3.537434,155.140930,633.694031,339.454163,532.901184,314.677826,8.392021,179.527267,257.278748,359.990509,-493.391754,505.507904,514.654785,-340.158356,622.629333,-44.620079,-479.447083,362.330841,510.718903,-340.461212,237.081955,-44.347378
1076,524.476257,619.893433,3.502237,155.258453,633.751343,339.455750,532.860779,314.728210,8.453914,179.700302,257.375580,359.967072,-493.261810,505.483612,514.571533,-340.141174,622.653687,-44.605415,-479.306763,362.349579,510.714172,-340.441650,237.082108,-44.386406
1077,524.530212,619.785278,3.496981,155.351013,633.812805,339.404388,532.895203,314.758301,8.466915,179.862473,257.432129,359.864258,-493.154053,505.533783,514.604187,-340.214294,622.661011,-44.619789,-479.242401,362.371613,510.722931,-340.466248,237.097168,-44.403534
1078,524.626953,619.700256,3.446184,155.428177,633.919373,339.388672,532.906067,314.809814,8.479686,180.069229,257.523438,359.819794,-492.995636,505.573853,514.632568,-340.209564,622.660217,-44.624329,-479.138580,362.379456,510.754700,-340.445435,237.053818,-44.400806
1079,524.729553,619.599121,3.467098,155.547241,633.986572,339.398560,532.914673,314.822784,8.536541,180.232422,257.651764,359.728577,-492.860809,505.546082,514.615356,-340.182068,622.652893,-44.592140,-478.972931,362.420471,510.858704,-340.440918,237.081757,-44.387573
1080,524.773499,619.537109,3.491376,155.645599,634.103882,339.434998,532.873352,314.830811,8.584666,180.365067,257.720642,359.688629,-492.746765,505.599792,514.642944,-340.147644,622.667664,-44.567028,-478.847076,362.422241,510.911163,-340.450104,237.090698,-44.367970
1081,524.764160,619.468689,3.424178,155.779205,634.223389,339.430664,532.813110,314.880585,8.613951,180.401749,257.730469,359.674072,-492.649292,505.632446,514.629395,-340.147003,622.689819,-44.609650,-478.740753,362.395203,510.920288,-340.449646,237.082230,-44.397884
1082,524.883789,619.394226,3.439664,155.872864,634.285889,339.379059,532.814514,314.902527,8.669749,180.519058,257.788940,359.620483,-492.591370,505.706177,514.665588,-340.126038,622.661560,-44.557980,-478.601593,362.427765,510.970673,-340.438538,237.113434,-44.393375
1083,524.969849,619.242920,3.375830,155.994904,634.335266,339.392120,532.827332,314.916565,8.700476,180.630585,257.822632,359.559082,-492.457397,505.716400,514.718689,-340.166046,622.640869,-44.560295,-478.447449,362.081757,511.203217,-340.425079,237.079254,-44.384762
1084,525.023010,619.181213,3.329557,156.155365,634.436584,339.359039,532.821655,314.918884,8.687962,180.724457,257.851959,359.522583,-492.339020,505.741516,514.742432,-340.180359,622.614868,-44.612144,-478.278503,362.095154,511.325806,-340.423889,237.045395,-44.401821
1085,525.074829,619.128418,3.394765,156.196671,634.517517,339.395569,532.820313,314.964050,8.754369,180.788834,257.872559,359.528320,-492.152802,505.867432,514.754333,-340.213684,622.609924,-44.601772,-478.108124,362.120483,511.375916,-340.430542,237.040024,-44.439281
1086,525.077942,619.113159,3.459299,156.374023,634.587524,339.378967,532.827637,314.964966,8.775516,180.909531,257.948975,359.521027,-491.916290,505.878571,514.799622,-340.225800,622.585815,-44.597183,-477.897156,362.124695,511.526398,-340.446136,237.047592,-44.405006
1087,525.104980,619.088562,3.507368,156.452576,634.659668,339.355469,532.835144,314.977539,8.799863,181.068207,258.023529,359.502380,-491.736633,505.905853,514.866150,-340.203674,622.568542,-44.585510,-477.682220,362.008270,511.759216,-340.431030,237.040375,-44.438538
1088,525.103027,619.036377,3.552469,156.560364,634.713867,339.392487,532.848511,314.962219,8.865901,181.238556,258.061890,359.561218,-491.530670,505.897095,514.913330,-340.216003,622.559326,-44.580257,-477.397552,362.089203,511.894409,-340.445953,237.047592,-44.405003
1089,525.082458,619.014893,3.569565,156.662125,634.773682,339.413239,532.848816,314.960846,8.868477,181.417709,258.106689,359.588409,-491.242523,505.840149,514.979431,-340.237030,622.552795,-44.607456,-477.274292,362.166687,511.925537,-340.407349,237.038269,-44.444725
1090,525.098999,619.023071,3.537941,156.737915,634.818970,339.379547,532.858582,314.952026,8.840892,181.576157,258.140503,359.568848,-491.161499,505.881073,514.987793,-340.248138,622.535950,-44.602234,-477.173004,362.185577,511.931671,-340.432678,237.054916,-44.448780
1091,525.176697,618.982117,3.473831,156.896698,634.873962,339.436615,532.861206,314.963501,8.830957,181.690109,258.208832,359.583405,-491.005737,505.857117,515.042725,-340.268555,622.533752,-44.579407,-477.039307,362.181610,512.057190,-340.410339,237.055695,-44.453606
1092,525.220215,618.958191,3.409005,157.007553,634.972839,339.434875,532.885132,314.926910,8.746247,181.855270,258.225006,359.581421,-490.874756,505.849884,515.184692,-340.256226,622.519531,-44.563766,-477.000549,362.170441,512.080261,-340.446228,237.045502,-44.437870
1093,525.220215,618.957458,3.407268,157.100159,634.989563,339.479492,532.870117,314.925018,8.720152,181.921646,258.244690,359.587158,-490.825958,505.915771,515.334106,-340.269989,622.532532,-44.559769,-476.886963,362.159149,512.022583,-340.445496,237.048660,-44.426445
1094,525.218567,618.955139,3.406796,157.197495,635.051147,339.504578,532.829102,314.892578,8.702950,181.931808,258.317627,359.598419,-490.787170,505.847107,515.441101,-340.272522,622.537537,-44.540852,-476.869110,362.133942,512.027100,-340.425354,237.041000,-44.440922
1095,525.279968,618.999939,3.428298,157.301086,635.138977,339.546234,532.837891,314.882202,8.677084,181.940201,258.330475,359.635834,-490.695343,505.779724,515.498169,-340.264862,622.528931,-44.541698,-476.803070,362.112335,512.000244,-340.427032,237.028107,-44.443008
1096,525.316528,619.009949,3.441066,157.343765,635.227783,339.519226,532.848572,314.867432,8.683380,181.993835,258.411499,359.676239,-490.607513,505.730682,515.581726,-340.274506,622.561401,-44.559933,-476.728668,362.045044,511.999542,-340.419159,237.046417,-44.435928
1097,525.315796,619.005859,3.439002,157.427368,635.215637,339.496277,532.840088,314.854767,8.659924,182.049408,258.486298,359.648193,-490.584717,505.739136,515.679810,-340.273346,622.518005,-44.519821,-476.583984,362.101868,511.955078,-340.429382,237.028549,-44.439617
1098,525.294434,619.015991,3.468957,157.504883,635.259644,339.516113,532.805725,314.880768,8.595701,182.092499,258.502167,359.673279,-490.458618,505.606018,515.736572,-340.290314,622.538452,-44.511921,-476.511505,362.076752,511.882660,-340.441772,237.016266,-44.435284
1099,525.315002,618.975342,3.426191,157.519043,635.282715,339.485199,532.804810,314.882416,8.593019,182.133148,258.582855,359.735504,-490.328461,505.518280,515.804260,-340.322906,622.497559,-44.503204,-476.489685,362.033691,511.833893,-340.477325,236.984650,-44.416969
1100,525.336548,618.962036,3.391764,157.590714,635.353577,339.462097,532.853577,314.883636,8.488487,182.219635,258.625671,359.722717,-490.265930,505.347412,515.823120,-340.312897,622.504822,-44.485912,-476.387329,361.963959,511.749023,-340.449432,236.968231,-44.404053
1101,525.360535,618.906494,3.460136,157.691330,635.341980,339.408325,532.856323,314.897797,8.425348,182.304398,258.677338,359.800720,-490.266022,505.116241,515.846924,-340.312500,622.482056,-44.465572,-476.342041,361.955536,511.698303,-340.423431,236.969543,-44.411331
1102,525.393127,618.914673,3.480376,157.699646,635.421448,339.389740,532.873779,314.876007,8.325388,182.354492,258.766418,359.885345,-490.184509,504.913025,515.924927,-340.356354,622.505615,-44.414581,-476.355743,361.863525,511.618622,-340.436646,236.922195,-44.349953
1103,525.335266,618.967834,3.518377,157.670288,635.489746,339.352203,532.821472,314.848328,8.286173,182.372360,258.854309,359.957611,-490.127563,504.657806,515.942139,-340.413025,622.487610,-44.394650,-476.519928,361.130341,511.736237,-340.437622,236.921066,-44.347855
1104,525.283630,618.954346,3.531111,157.710129,635.565857,339.274353,532.771790,314.842621,8.223357,182.414413,258.934662,360.018860,-490.118896,504.389374,515.954651,-340.520386,622.459595,-44.322239,-476.573822,360.834198,511.751068,-340.479584,236.901398,-44.371109
1105,525.317383,618.929504,3.526430,157.759293,635.639526,339.208282,532.679016,314.820374,8.235349,182.311676,259.012604,360.003906,-490.043457,504.106140,515.992004,-340.627014,622.406006,-44.282791,-476.544678,360.667450,511.611237,-340.455566,236.839935,-44.372768
1106,525.321899,618.881287,3.572427,157.786362,635.732727,339.165924,532.575562,314.889435,8.198763,182.227707,259.077057,360.022003,-490.071777,503.806335,516.014099,-340.731812,622.326965,-44.075150,-476.581818,360.480316,511.484985,-340.470734,236.798782,-44.342838
1107,525.292603,618.812683,3.479039,157.749725,635.801147,339.071777,532.433167,314.973877,8.187914,182.103180,259.182007,359.994110,-490.139709,503.670929,516.089844,-340.917969,622.185486,-43.859146,-476.412659,359.890656,511.804718,-340.506165,236.793213,-44.313049
1108,525.289978,618.805664,3.469964,157.766769,635.867737,339.016937,532.244263,315.150940,8.243490,181.968552,259.309814,360.068054,-490.274689,503.488708,516.155518,-341.074219,622.018860,-43.580654,-476.461792,359.804962,511.669769,-340.525330,236.769119,-44.332638
