EX402
Date:,2025/01/17
Time:,11:16:56
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HEAD_X,HEAD_Y,HEAD_Z,PELVIS_X,PELVIS_Y,PELVIS_Z
1088,-354.670593,147.412872,468.454956,62.309399,397.129913,109.816536
1089,-358.008728,146.221634,466.772156,61.748917,396.555267,109.417366
1090,-361.109131,145.883163,465.152435,61.132507,396.638580,108.575935
1091,-364.251221,144.837509,463.808380,60.139057,396.463257,108.100975
1092,-367.347595,144.006577,462.908569,59.237930,395.960419,108.061600
1093,-369.841858,143.680588,462.084595,58.831078,395.470581,108.170113
1094,-372.536743,143.212051,461.084686,58.219742,394.682098,108.428406
1095,-375.140717,143.045059,460.487274,57.498161,394.159912,108.347275
1096,-377.854614,142.675629,459.694244,56.754642,393.187103,108.390533
1097,-380.214203,142.541702,459.108795,56.034557,392.757050,108.189598
1098,-382.974976,142.127167,458.818726,55.209949,392.141754,108.380539
1099,-385.103973,141.803177,458.050690,54.646572,391.025848,108.617722
1100,-387.036743,141.739700,457.541565,54.533272,390.046417,108.283913
1101,-389.534546,141.325409,456.695313,54.006145,389.023987,107.999474
1102,-391.375793,140.894684,456.086060,53.517792,387.758453,108.421722
1103,-393.752136,140.409286,455.102173,53.069431,386.860321,108.762154
1104,-395.502014,140.235229,454.166595,52.682697,386.455841,108.501015
1105,-397.513275,139.521835,452.649231,52.121365,385.561188,108.418076
1106,-399.658234,139.182724,451.468231,51.655571,384.226929,108.732681
1107,-401.426300,138.577423,449.985992,51.525688,383.619598,108.706001
1108,-403.102539,138.121735,448.274750,51.168224,383.337982,108.348869
1109,-404.712036,137.721512,446.676056,50.853153,383.011597,108.134995
1110,-406.292023,137.177307,445.034912,50.619247,382.125000,108.141396
1111,-407.510498,136.792755,442.954407,50.444866,381.457153,107.961975
1112,-408.824768,135.931900,441.397919,50.444626,381.112946,107.842377
1113,-410.138123,135.580078,439.328735,50.660732,380.770447,107.892021
1114,-411.555786,135.098389,437.404480,50.918465,380.343811,107.930756
1115,-412.766388,134.825607,434.907166,51.342281,380.220428,107.786583
1116,-413.994751,134.285690,432.683105,51.569145,380.383057,107.660606
1117,-415.140167,133.955673,430.423248,51.942780,380.710175,107.507607
1118,-415.698395,133.808945,428.263916,52.626442,380.810944,107.480911
1119,-416.556915,132.970642,426.292175,53.364807,380.632355,107.558907
1120,-417.666168,132.558609,423.690826,54.014244,380.155731,107.484009
1121,-418.897156,132.574158,420.991455,54.653038,379.994080,107.403023
1122,-419.613953,132.350281,417.994629,55.437195,380.739716,106.806061
1123,-420.306915,132.067337,415.579285,56.368095,381.222290,106.297104
1124,-421.419861,132.277863,412.466156,56.939220,380.929565,106.726959
1125,-422.228149,132.118057,409.850677,57.563187,381.262665,106.714790
1126,-422.879425,132.232666,407.531921,58.373375,381.648651,106.697098
1127,-423.475220,132.152344,404.756256,59.032021,382.181061,106.343590
1128,-423.903900,132.229507,402.164520,59.721745,382.351410,106.314003
1129,-424.310944,132.421371,400.320862,60.311401,382.233459,106.408859
1130,-424.725952,132.175919,398.067261,61.012733,382.315979,106.519249
1131,-425.135742,132.328217,396.230530,61.419128,382.892242,106.242844
1132,-425.339874,133.092010,394.155762,61.832161,383.504517,105.903366
1133,-425.679474,132.785767,392.452728,62.416962,383.993286,105.679031
1134,-425.949371,134.584915,389.494965,63.224930,383.927917,105.971283
1135,-426.088226,135.062195,387.929260,63.998936,383.825043,106.057297
1136,-426.374207,135.207291,386.320404,64.579590,383.890320,105.912369
1137,-426.466309,135.330383,385.073700,65.237946,384.137421,105.583015
1138,-426.674194,135.639801,383.636108,65.627678,384.476959,105.396690
1139,-426.834534,135.818924,382.476837,66.368217,384.523376,105.679146
1140,-427.125397,136.169647,381.434753,67.049171,384.620514,106.057007
1141,-427.140320,136.680893,380.281067,67.673157,384.765839,106.431931
1142,-427.162872,137.100327,379.323608,68.212059,385.377228,106.336250
1143,-427.242279,137.390793,378.585297,68.590446,385.813202,106.314110
1144,-427.389404,137.945648,377.875427,68.676590,386.219330,106.170486
1145,-427.448975,138.714432,377.298767,69.081627,386.403595,106.364487
1146,-427.595032,139.279587,376.977539,69.460594,386.629700,106.420006
1147,-427.731201,139.592484,376.887482,70.003487,386.868958,106.349136
1148,-427.586914,140.119751,376.975189,70.322731,386.927063,106.697372
1149,-427.315033,140.921753,377.179291,70.635078,387.146667,106.832108
1150,-426.927032,141.828995,377.592743,70.861801,387.539185,106.736717
1151,-426.301178,142.510986,378.249207,70.990761,388.032959,106.536415
1152,-425.817993,142.821304,378.972168,71.038017,388.224915,106.394882
1153,-424.923920,143.844727,380.298248,71.047882,388.527924,106.344727
1154,-424.107178,144.267380,381.335938,70.997192,388.745728,106.235054
1155,-422.801178,144.710587,383.260529,70.967842,389.260803,106.021683
