BLOC303
Date:,2023/12/07
Time:,15:41:20
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,SHO1,,,ELB1,,,HAN1,,,SHO2,,,ELB2,,,HAN2,,,SHO3,,,ELB3,,,HAN3,,,SHO4,,,ELB4,,,HAN4,,,SHO5,,,ELB5,,,HAN5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,-851.548218,1025.925293,1431.725342,-686.594482,782.799561,1296.775879,-428.992340,672.011902,1500.151367,190.055176,1217.690552,1253.945679,55.179146,1008.471985,1182.368896,92.242584,788.650391,1345.274902,1062.291626,471.079559,1307.991089,795.171204,523.684204,1195.155640,470.398132,418.089203,1374.124634,792.980225,-715.191406,1316.631836,742.897217,-460.107361,1198.895508,548.160034,-267.212799,1385.683716,-705.731140,-362.512878,1338.992554,-443.258118,-233.959915,1213.563843,-378.394623,4.937161,1429.678833
23,-851.520447,1025.846924,1431.804321,-686.686768,782.543396,1296.971924,-428.651489,671.225769,1499.672363,191.131180,1216.650269,1254.721680,57.436592,1005.303894,1186.986694,89.597588,781.593933,1346.411499,1061.892944,470.474976,1308.479980,793.267273,522.197510,1198.523804,465.160767,418.342712,1372.947388,792.094666,-715.445068,1317.359131,739.694580,-457.863342,1204.715088,544.566772,-256.847900,1383.975708,-705.502502,-361.994232,1339.252441,-442.073669,-231.188309,1217.470825,-370.848907,10.409684,1428.497437
24,-851.458984,1025.796021,1431.854614,-686.878357,782.274597,1296.971436,-428.494598,670.845032,1499.463379,192.174866,1215.583984,1255.589233,59.487801,1002.237976,1191.374146,86.733749,775.065369,1347.419434,1061.372314,469.879395,1308.826538,791.346497,520.756653,1201.431152,460.186707,418.617188,1371.609741,790.916382,-715.898865,1317.916870,736.300171,-455.376007,1210.309692,541.325562,-246.225327,1381.846558,-705.154602,-361.360809,1339.596313,-440.942627,-228.557297,1221.264038,-363.213165,15.615201,1427.273804
25,-851.440918,1025.728394,1431.864136,-687.152283,782.132080,1296.712158,-428.481781,670.848083,1499.328857,193.124146,1214.610474,1256.394409,61.462330,999.327576,1195.433105,83.553604,768.813171,1348.328369,1060.810913,469.374298,1309.179443,789.847168,519.641418,1204.394287,456.127686,418.617279,1370.607544,789.701660,-716.229370,1318.216675,733.146484,-453.481323,1216.177002,538.220825,-235.658585,1379.290405,-704.884827,-360.643921,1339.920166,-439.784180,-225.914124,1224.983276,-355.492065,20.770863,1425.764404
26,-851.461365,1025.690186,1431.879517,-687.498474,781.951233,1296.324097,-428.690613,670.973755,1499.194580,194.008621,1213.654785,1257.062378,63.452465,996.730530,1198.935913,80.487679,763.295288,1349.116455,1060.368896,468.923645,1309.522827,788.313965,518.375183,1206.660767,452.514954,418.221832,1369.856812,788.759521,-716.567871,1319.006958,730.091553,-451.492706,1222.266235,535.528442,-224.903259,1376.215820,-704.549622,-359.905334,1340.146973,-438.871460,-223.454697,1228.412842,-347.924622,25.707220,1424.039795
27,-851.439697,1025.641968,1431.904297,-687.937622,781.873779,1295.943726,-429.149902,671.215698,1499.139771,194.876358,1212.569458,1257.605347,65.504585,994.322876,1202.049805,77.800674,758.421265,1349.938965,1059.988037,468.507477,1309.871460,786.948792,517.528442,1208.495361,449.571930,418.045624,1369.399536,787.688171,-716.944336,1319.457520,726.916077,-449.794495,1228.099976,533.147278,-214.345703,1372.820801,-704.145874,-359.210449,1340.438599,-438.120392,-220.999435,1231.715942,-340.659241,30.203136,1422.403076
28,-851.481567,1025.553223,1431.919922,-688.473389,781.875793,1295.315430,-430.005676,671.547668,1499.244385,195.614853,1211.579590,1258.263550,67.388100,992.078064,1205.027710,75.440475,754.365295,1350.971924,1059.379272,468.188934,1310.242554,785.765015,516.604004,1210.278564,446.871918,417.875122,1369.038086,786.590271,-717.329590,1320.167603,723.836182,-448.158508,1233.648071,531.208008,-204.433075,1369.196411,-703.852905,-358.617065,1340.812988,-437.399902,-218.258331,1234.826172,-333.407684,34.572708,1420.576172
29,-851.564270,1025.458374,1431.933838,-689.069092,781.722168,1294.509277,-431.064941,672.093506,1499.424072,196.147552,1210.624023,1258.711670,69.219292,989.907166,1207.620117,73.053406,750.772034,1351.754395,1058.793579,467.878357,1310.645264,784.506592,515.561157,1211.626953,445.034271,416.882263,1369.300781,785.648315,-717.575623,1320.878174,720.814453,-446.966187,1239.171265,529.419983,-195.289124,1365.368164,-703.421570,-357.800232,1341.163818,-436.838867,-215.793884,1237.934937,-326.410797,38.685326,1418.716797
30,-851.642029,1025.388916,1431.915649,-689.761475,781.832520,1293.531982,-432.474976,672.973816,1499.551514,196.586655,1209.689697,1259.102783,70.929382,988.054382,1210.050171,70.782127,747.365601,1352.656250,1058.415527,467.593689,1310.888062,783.785095,514.881165,1212.999756,443.629608,416.016144,1369.703979,784.518433,-717.927002,1321.688599,717.870850,-445.869263,1244.387939,527.869019,-187.091217,1361.418945,-703.103394,-357.255676,1341.497192,-436.378632,-213.436127,1240.742554,-319.341614,42.168663,1416.758667
31,-851.713989,1025.310913,1431.881470,-690.364746,781.957886,1292.408813,-433.790436,674.008728,1499.747803,197.077576,1208.840454,1259.372681,72.560211,986.388428,1212.134277,68.436012,744.263000,1353.400269,1058.029419,467.371521,1311.095581,783.045715,514.120483,1214.268677,442.175140,415.248657,1369.807251,783.703369,-718.158386,1322.418945,714.931213,-445.224304,1249.221313,526.465454,-179.675598,1357.313477,-702.576111,-356.519257,1341.783691,-435.986084,-211.176041,1243.157959,-312.657349,45.447453,1414.713257
