Trial02
Date:,2023/10/25
Time:,15:49:06
Type:,Francesco
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,SHO1,,,ELB1,,,HAN1,,,SHO2,,,ELB2,,,HAN2,,,SHO3,,,ELB3,,,HAN3,,,SHO4,,,ELB4,,,HAN4,,,SHO5,,,ELB5,,,HAN5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
40,-620.664795,575.505310,1471.197510,-486.899689,394.691711,1230.162964,-264.980774,359.965729,1435.957764,57.865799,1191.336304,1433.877808,-14.266190,959.590637,1218.700928,60.022449,709.713684,1410.091309,932.487488,434.365265,1369.642578,696.838745,483.480377,1139.004761,551.895996,394.802185,1362.834473,700.266541,-553.165466,1317.740601,685.739990,-417.570496,1016.065674,572.731140,-356.806274,1272.398438,-468.414154,-369.810699,1356.211670,-328.753906,-317.004761,1055.522461,-296.447540,-168.067062,1257.811523
41,-620.138489,575.755310,1471.247070,-483.945984,393.586731,1233.077148,-258.173218,354.713989,1434.421875,58.253181,1191.388184,1434.372070,-13.050818,956.649292,1222.568481,57.723431,698.939758,1406.706055,933.690125,434.496460,1369.617065,693.979614,481.834137,1143.492920,541.370544,393.161377,1362.508911,699.616638,-552.339783,1317.874146,683.747559,-414.222961,1018.078674,569.229126,-354.334991,1274.038574,-470.261475,-371.431061,1357.102417,-324.307434,-312.422974,1060.248169,-291.153015,-162.146057,1261.738403
42,-619.275330,576.182007,1471.163452,-480.693542,392.477722,1235.928711,-251.675598,349.559692,1432.812134,58.562057,1191.287231,1434.751953,-11.985096,953.612915,1226.646851,55.118134,688.499146,1402.911011,935.279053,434.756897,1369.677124,691.155518,480.307465,1148.150635,531.040100,391.750732,1362.239990,698.915710,-551.603333,1318.721802,681.372498,-410.753662,1020.222351,565.654968,-351.636322,1275.948364,-472.152893,-372.631561,1357.555176,-320.028564,-307.207062,1065.019409,-285.584381,-155.993225,1265.693237
43,-618.610535,576.559875,1471.209717,-477.738403,391.396942,1238.483887,-245.563004,344.538757,1430.853760,58.907867,1191.079834,1435.268188,-10.636936,950.593872,1230.675293,52.465885,678.428589,1398.744629,936.618347,434.973083,1369.573120,688.328003,478.505798,1152.772583,520.728455,390.081757,1361.767212,698.375061,-550.931946,1318.873535,678.702820,-406.731659,1022.420166,561.442688,-348.213562,1277.913452,-473.928741,-374.000305,1358.172363,-315.552368,-302.453064,1070.187012,-279.776794,-149.482330,1269.430054
44,-618.059021,576.780151,1471.391724,-474.807739,390.413422,1241.098022,-239.419388,339.594238,1428.844482,59.156609,1190.702881,1435.482300,-9.069899,947.651672,1234.666016,49.465462,668.530579,1394.260620,938.136292,435.199799,1369.467041,685.689880,477.055389,1157.916504,510.355652,388.543060,1361.261841,697.673523,-550.550842,1319.768188,676.109619,-402.148285,1024.805298,556.584534,-344.259827,1279.731934,-475.724396,-375.119690,1358.651001,-311.119202,-297.530243,1075.237427,-273.627197,-142.478363,1273.017578
45,-617.186096,577.325195,1471.419067,-472.063141,389.358246,1243.483643,-233.672150,334.891754,1426.995972,59.644615,1190.880371,1436.320679,-7.397048,944.366882,1238.111938,46.295921,659.275696,1389.547974,939.474792,435.394501,1369.268921,682.804749,474.832367,1162.705688,499.947449,386.978882,1360.314575,697.198547,-550.222839,1320.137085,673.168091,-397.663055,1027.896362,551.789917,-340.026245,1282.422852,-477.362000,-376.322632,1359.313232,-307.331177,-292.584381,1080.853394,-267.230011,-135.569031,1276.508789
46,-616.487854,577.335571,1471.579956,-469.169281,388.370422,1245.695923,-228.290359,330.334869,1424.971680,60.112122,1190.433105,1436.762573,-5.889347,941.504333,1242.110718,43.032120,650.611816,1384.900513,940.758545,435.673676,1369.081665,679.916260,474.600403,1168.612671,489.521576,385.320160,1359.018921,696.593567,-549.977051,1320.787476,670.220215,-392.806946,1031.278564,546.200745,-334.957672,1284.906860,-478.991241,-377.266113,1359.661011,-303.614594,-287.600159,1086.428833,-260.600220,-126.734375,1279.418945
47,-615.546570,577.631775,1471.751709,-466.314087,387.552185,1248.005615,-222.963821,325.919952,1422.766235,60.425060,1190.255493,1437.294312,-3.928520,938.743286,1245.885864,39.814411,642.785583,1380.262451,941.916138,435.903625,1368.771484,677.291565,472.746765,1173.923096,479.263611,383.893250,1357.613647,696.309082,-549.800354,1321.331299,666.765686,-387.621674,1034.889648,539.385864,-328.484650,1287.063599,-480.614655,-378.465607,1360.328491,-299.609314,-282.835358,1091.974365,-253.712814,-120.104996,1283.004761
48,-614.845032,577.868225,1471.889893,-464.110504,386.751587,1249.901367,-218.146667,321.489105,1420.552124,60.858944,1190.017822,1437.933105,-1.983800,936.091064,1249.537598,36.538723,635.545227,1375.672607,943.126282,436.161804,1368.428467,674.415222,470.482391,1178.936523,469.350037,382.395844,1355.989990,696.080872,-549.902100,1321.907959,663.095947,-382.237335,1039.242554,532.749390,-321.640015,1289.994019,-481.940643,-379.358826,1360.636841,-296.173615,-277.914154,1097.830566,-246.939865,-112.984169,1286.458008
49,-613.977051,578.068970,1472.073975,-461.914642,385.803802,1251.948853,-213.327621,317.545166,1418.378418,61.301487,1189.894897,1438.526611,-0.189357,933.644287,1253.189697,33.130623,628.950867,1371.035400,944.150574,436.495331,1368.141357,671.713318,468.204193,1184.102295,460.132385,381.220245,1354.429443,695.811768,-549.906677,1322.421631,659.661926,-376.976593,1043.596558,526.428223,-314.995056,1293.455444,-483.387878,-380.051025,1361.012939,-292.875122,-273.238190,1103.920654,-239.825500,-105.654259,1289.320435
