Objects
100
,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
122,0,-0.571326,-1.123253,2.502869,-30.380518,51.508381,671.541992
123,0,-0.571359,-1.115472,2.503979,-30.252880,52.765068,670.886597
124,0,-0.558620,-1.079126,2.503895,-29.760220,55.150871,671.271362
125,0,-0.561241,-1.077983,2.495497,-29.629589,57.467701,671.987488
126,0,-0.582858,-1.089109,2.485710,-29.659115,59.710472,672.235046
127,0,-0.591229,-1.076314,2.474544,-29.387690,62.229839,672.351257
128,0,-0.601860,-1.068873,2.469723,-28.920542,64.094902,672.671753
129,0,-0.600600,-1.061304,2.469198,-28.228441,64.779541,673.160461
130,0,-0.588942,-1.061196,2.472792,-27.635212,64.117943,673.705811
131,0,-0.578653,-1.064063,2.475055,-27.152122,62.553375,674.114014
132,0,-0.572122,-1.082167,2.478514,-27.096632,60.902733,674.097412
133,0,-0.568464,-1.081265,2.481915,-27.017540,60.098194,673.461243
134,0,-0.576844,-1.079475,2.484188,-27.281580,60.048199,672.169617
135,0,-0.580133,-1.075170,2.481854,-27.447865,60.440998,671.052124
136,0,-0.581763,-1.072591,2.482895,-27.577541,61.583111,671.228882
137,0,-0.580488,-1.061834,2.480846,-27.334066,63.098297,671.948853
138,0,-0.581144,-1.056791,2.474813,-27.222404,64.398232,672.692871
139,0,-0.585319,-1.055315,2.471325,-27.122034,65.603897,673.098572
140,0,-0.581423,-1.051391,2.469781,-26.790644,66.539787,673.414001
141,0,-0.575187,-1.046997,2.472441,-26.411787,66.952682,673.604370
142,0,-0.571090,-1.043532,2.476789,-26.111727,66.904671,673.575989
143,0,-0.566401,-1.041154,2.481291,-25.890343,66.606926,673.278625
144,0,-0.561092,-1.037720,2.485299,-25.623312,66.313026,672.742371
145,0,-0.561388,-1.045319,2.487364,-25.549746,66.433929,672.428955
146,0,-0.556546,-1.033897,2.492406,-25.227551,67.317131,672.320374
147,0,-0.547991,-1.009120,2.498620,-24.531496,69.121025,672.638489
148,0,-0.533970,-0.983027,2.503279,-23.612402,71.473305,673.308655
149,0,-0.518436,-0.938213,2.511888,-22.547966,74.631744,674.014282
150,0,-0.508507,-0.893666,2.522362,-21.566425,77.544846,674.761292
151,0,-0.496517,-0.859688,2.533389,-20.618502,79.538490,675.730286
152,0,-0.489294,-0.836648,2.542597,-19.906422,80.512878,676.592346
153,0,-0.477950,-0.822204,2.556474,-19.392298,80.488808,677.329163
154,0,-0.457047,-0.792468,2.572989,-19.051437,79.822990,677.678467
155,0,-0.443368,-0.781293,2.595228,-19.133034,78.434174,677.525818
156,0,-0.438982,-0.787367,2.612874,-19.441616,76.410965,677.328003
157,0,-0.428269,-0.810464,2.619096,-19.892097,74.406258,677.236389
158,0,-0.427227,-0.817980,2.623420,-20.109173,73.369026,677.120789
159,0,-0.420516,-0.816175,2.626119,-19.986040,73.674683,677.122070
160,0,-0.408588,-0.797127,2.628624,-19.376602,75.296875,677.373596
161,0,-0.396174,-0.762732,2.630820,-18.589130,77.535973,677.784424
162,0,-0.397258,-0.737206,2.631454,-17.907047,79.622688,678.281311
163,0,-0.392514,-0.722518,2.625948,-17.377016,81.271988,678.773987
164,0,-0.393237,-0.712242,2.624449,-16.895205,82.284767,679.134705
165,0,-0.395504,-0.710374,2.623652,-16.331553,82.645622,679.427979
166,0,-0.386836,-0.701046,2.630849,-16.166859,82.292252,679.227539
167,0,-0.385084,-0.709509,2.630194,-16.009125,81.662903,678.992554
168,0,-0.382864,-0.717666,2.628507,-15.915493,81.354935,678.621582
169,0,-0.380090,-0.718983,2.628453,-15.735626,81.736946,678.304749
170,0,-0.379563,-0.714323,2.625261,-15.388584,82.738464,678.288086
171,0,-0.386752,-0.715416,2.614606,-14.913375,84.184326,678.578125
172,0,-0.389518,-0.711654,2.606955,-14.569995,86.000153,678.751648
173,0,-0.397639,-0.704717,2.599032,-14.191439,87.666313,678.860413
174,0,-0.403221,-0.698466,2.596838,-13.857775,88.742210,679.154663
175,0,-0.406635,-0.695241,2.596761,-13.527954,88.829666,679.536560
176,0,-0.404855,-0.695485,2.599553,-13.333223,87.858139,679.898254
177,0,-0.403786,-0.705543,2.604069,-13.367908,86.131523,679.878540
178,0,-0.407297,-0.716067,2.609451,-13.563957,84.404640,679.316162
179,0,-0.407636,-0.743842,2.602644,-13.852360,82.885475,678.487244
180,0,-0.408283,-0.769722,2.595446,-14.049227,82.046417,677.906860
181,0,-0.404457,-0.772117,2.593667,-14.045395,82.579895,677.687317
182,0,-0.405810,-0.758743,2.588115,-13.805528,84.133621,677.936584
183,0,-0.405322,-0.743214,2.581566,-13.397333,86.677444,678.266663
184,0,-0.412219,-0.726443,2.575551,-12.921463,89.411148,678.589478
185,0,-0.416337,-0.716365,2.568535,-12.440860,91.729614,678.849182
186,0,-0.419186,-0.712758,2.562081,-11.960649,93.166710,679.260315
187,0,-0.422788,-0.711797,2.560716,-11.617941,93.330475,679.623474
188,0,-0.422793,-0.717415,2.560425,-11.354168,92.368507,680.048035
189,0,-0.417945,-0.726032,2.567865,-11.247842,90.427429,680.165344
190,0,-0.416480,-0.738996,2.570369,-11.374608,88.266136,679.858032
191,0,-0.423708,-0.754711,2.573166,-11.642229,86.709450,678.725708
192,0,-0.420123,-0.778005,2.562387,-11.913368,85.717888,677.462952
193,0,-0.424742,-0.796919,2.555198,-12.164042,85.465614,676.957397
194,0,-0.427767,-0.799337,2.548473,-12.162115,86.537926,677.107117
195,0,-0.426499,-0.773166,2.547244,-11.781396,88.952164,677.511353
196,0,-0.428482,-0.747434,2.542438,-11.015536,92.225662,678.055969
197,0,-0.431110,-0.722663,2.536590,-10.191327,95.366302,678.508240
198,0,-0.434115,-0.710600,2.529499,-9.555197,97.472649,679.118042
199,0,-0.435783,-0.708502,2.526190,-8.923304,98.215485,679.817322
200,0,-0.423766,-0.708230,2.526523,-8.354990,97.683472,680.574585
201,0,-0.415717,-0.720789,2.527401,-8.051151,96.043877,681.151001
202,0,-0.411286,-0.731499,2.532878,-8.030985,94.012344,681.209045
203,0,-0.408143,-0.742789,2.539433,-8.322986,92.025246,680.491455
204,0,-0.414726,-0.757124,2.536771,-8.799769,91.051834,678.989929
205,0,-0.428351,-0.761821,2.539526,-9.339978,91.097969,676.881531
206,0,-0.434786,-0.781141,2.531527,-9.825181,91.364632,676.279053
207,0,-0.438795,-0.788330,2.522675,-9.828200,92.583908,676.856689
208,0,-0.432531,-0.763918,2.519983,-9.357512,95.275406,677.565430
209,0,-0.426561,-0.725967,2.520911,-8.504574,98.656708,678.076904
210,0,-0.426062,-0.701131,2.517482,-7.676952,101.495270,678.541687
211,0,-0.426810,-0.698921,2.508694,-7.068990,103.215630,679.175415
212,0,-0.435160,-0.701681,2.511603,-6.601486,103.715919,679.732117
213,0,-0.426606,-0.709915,2.505490,-6.391383,103.338280,679.879089
214,0,-0.423047,-0.715631,2.509374,-6.121304,102.558846,679.651184
215,0,-0.423033,-0.727416,2.507284,-6.019368,101.804909,678.968689
216,0,-0.433631,-0.737138,2.508347,-6.140153,101.428429,677.661865
217,0,-0.434981,-0.754168,2.503006,-6.304098,101.269218,676.691833
218,0,-0.438816,-0.765736,2.495750,-6.339293,101.601044,676.611816
219,0,-0.442961,-0.760471,2.491822,-6.084282,102.925179,676.990417
220,0,-0.440292,-0.736854,2.489098,-5.492605,105.202866,677.354065
221,0,-0.438710,-0.708260,2.489071,-4.892240,107.700943,677.656494
222,0,-0.451349,-0.696486,2.487449,-4.021396,109.694313,678.410522
223,0,-0.452342,-0.683020,2.490748,-3.674196,110.218781,679.040161
224,0,-0.446187,-0.682890,2.492751,-3.617636,109.341675,679.622864
225,0,-0.447991,-0.678077,2.513173,-4.004658,107.155869,679.882751
226,0,-0.441348,-0.689723,2.518953,-4.497365,104.604324,679.775574
227,0,-0.439945,-0.710544,2.519243,-5.282924,102.274109,679.016968
228,0,-0.439378,-0.732629,2.512384,-6.221651,100.541817,677.626770
229,0,-0.444856,-0.764705,2.500847,-6.970049,99.395531,676.698364
230,0,-0.450463,-0.774934,2.497622,-7.400495,99.719574,676.425354
231,0,-0.445691,-0.755649,2.497669,-7.192774,101.560272,676.759094
232,0,-0.442563,-0.728859,2.494105,-6.493169,104.355293,677.341309
233,0,-0.436857,-0.698802,2.490613,-5.617855,107.501389,677.932983
234,0,-0.441776,-0.677440,2.487331,-4.960178,110.036705,678.355774
235,0,-0.456166,-0.666757,2.494004,-4.204716,111.710152,678.862854
236,0,-0.451876,-0.676582,2.484201,-3.659001,112.095505,679.256531
237,0,-0.451043,-0.672066,2.490575,-3.427510,111.514091,679.146606
238,0,-0.453430,-0.679079,2.497864,-3.381514,109.837067,678.867249
239,0,-0.454176,-0.694367,2.501183,-3.719712,107.829155,678.190613
240,0,-0.449605,-0.723780,2.494325,-4.065181,105.891960,677.518982
241,0,-0.456118,-0.752136,2.486906,-4.411252,104.862549,676.833374
242,0,-0.457935,-0.752584,2.486266,-4.431513,105.279434,676.486755
243,0,-0.451610,-0.730228,2.488082,-4.127848,106.859413,676.772827
244,0,-0.453733,-0.705957,2.487002,-3.485803,109.091751,677.371826
245,0,-0.449527,-0.687843,2.479409,-2.862583,111.506439,677.977783
246,0,-0.457859,-0.680322,2.471980,-2.271333,113.341728,678.605652
247,0,-0.458631,-0.674488,2.471740,-2.161505,113.885857,678.982239
248,0,-0.460253,-0.679549,2.472181,-2.181547,113.043617,679.284790
249,0,-0.459245,-0.687529,2.478239,-2.506136,111.087540,679.342285
250,0,-0.458113,-0.701778,2.486561,-3.137380,108.586548,678.870728
251,0,-0.459133,-0.713169,2.497837,-4.128883,105.976563,677.779724
252,0,-0.466251,-0.757046,2.487297,-4.994637,103.996567,676.867004
253,0,-0.469770,-0.777188,2.481817,-5.618243,103.426445,676.177246
254,0,-0.469315,-0.768311,2.481696,-5.595807,104.707642,676.087891
255,0,-0.467209,-0.738970,2.480892,-4.895723,107.364189,676.658813
256,0,-0.454744,-0.714979,2.468896,-3.652577,110.902275,677.501709
257,0,-0.456813,-0.693789,2.459124,-2.586682,114.469208,678.213318
258,0,-0.464798,-0.677792,2.455311,-1.748426,117.287643,678.596313
259,0,-0.471406,-0.656575,2.461859,-1.394440,119.034851,678.562378
260,0,-0.475552,-0.674957,2.446311,-0.633031,119.674347,678.869690
261,0,-0.475879,-0.679239,2.448261,-0.319369,119.110718,678.655029
262,0,-0.477406,-0.694195,2.450846,-0.396190,117.476280,678.279236
263,0,-0.481564,-0.715950,2.449928,-0.767723,115.237740,677.733154
264,0,-0.478254,-0.747764,2.443208,-1.270640,113.276291,677.041992
265,0,-0.479938,-0.767870,2.437868,-1.663679,112.203667,676.482361
266,0,-0.482017,-0.765911,2.437710,-1.655362,112.645943,676.275085
267,0,-0.476783,-0.747913,2.439507,-1.173505,114.305565,676.602478
268,0,-0.470122,-0.709072,2.447548,-0.320057,116.743172,677.154907
269,0,-0.471444,-0.682559,2.444706,0.648707,119.339607,677.801575
270,0,-0.474886,-0.668322,2.439438,1.357528,121.583206,678.412048
271,0,-0.476009,-0.661923,2.437818,1.845192,123.009659,678.709167
272,0,-0.477959,-0.660811,2.438899,2.086502,123.328957,678.752075
273,0,-0.479966,-0.663168,2.440281,2.218271,122.646057,678.611267
274,0,-0.482591,-0.677759,2.442400,1.959600,120.945000,678.290771
275,0,-0.482361,-0.703452,2.440825,1.428977,118.656532,677.868835
276,0,-0.481398,-0.724775,2.441994,0.938733,116.632591,677.299866
277,0,-0.485641,-0.745522,2.436254,0.633113,115.660690,676.741272
278,0,-0.483966,-0.744624,2.435961,0.779930,116.139755,676.454834
279,0,-0.476890,-0.726883,2.436666,1.353206,117.887695,676.740234
280,0,-0.473672,-0.701342,2.435545,2.350804,120.319328,677.392334
281,0,-0.473052,-0.657350,2.445755,3.136451,122.923317,677.758667
282,0,-0.474221,-0.659142,2.430370,4.008438,125.022438,678.466370
283,0,-0.479670,-0.640003,2.435465,4.379415,126.238945,678.511353
284,0,-0.483182,-0.640892,2.435338,4.556777,126.269875,678.503418
285,0,-0.485688,-0.662679,2.426839,4.602129,125.167686,678.489075
286,0,-0.492174,-0.673719,2.431404,4.079972,123.099586,678.032349
287,0,-0.491672,-0.707550,2.427969,3.395135,120.666985,677.579773
288,0,-0.494069,-0.737385,2.423419,2.823527,118.775185,676.990417
289,0,-0.494332,-0.738618,2.429719,2.424074,118.241714,676.186035
290,0,-0.491901,-0.742659,2.420120,2.892703,119.214989,676.261414
291,0,-0.486280,-0.698413,2.433831,3.614918,121.620018,676.344543
292,0,-0.480720,-0.678809,2.423192,4.839145,124.528503,677.376160
293,0,-0.478367,-0.648817,2.424407,5.744838,127.536697,677.962219
294,0,-0.488040,-0.632260,2.422093,6.426638,129.602310,678.498230
295,0,-0.494743,-0.632139,2.418816,6.720100,130.279388,678.907959
296,0,-0.497499,-0.639752,2.419342,6.620602,129.242889,679.116211
297,0,-0.495243,-0.652395,2.426434,5.901565,126.481216,678.963257
298,0,-0.495249,-0.668220,2.437171,4.652155,122.598885,678.365112
299,0,-0.498691,-0.714770,2.430765,3.338941,118.100899,677.645996
300,0,-0.499988,-0.762729,2.430702,1.414773,113.518303,676.689697
301,0,-0.505711,-0.804306,2.422970,-0.197384,110.410103,675.826721
302,0,-0.512207,-0.818330,2.416132,-1.045590,109.580132,675.418335
303,0,-0.505392,-0.800754,2.418516,-0.744045,111.422989,675.589661
304,0,-0.502948,-0.750539,2.424651,0.515829,114.992416,676.364197
305,0,-0.489882,-0.689270,2.434607,2.075724,119.083321,677.271545
306,0,-0.489681,-0.657805,2.432051,3.410931,122.402367,678.348450
307,0,-0.492546,-0.658944,2.421330,4.141488,124.032257,679.331787
308,0,-0.494077,-0.669979,2.416774,4.393412,124.000366,680.005005
309,0,-0.496939,-0.673442,2.424422,4.318182,122.870583,680.033752
310,0,-0.494511,-0.700813,2.415288,4.169476,120.821373,679.753235
311,0,-0.497379,-0.705332,2.428641,3.374136,118.370995,678.338501
312,0,-0.501117,-0.738088,2.428626,2.274075,115.436394,676.783997
313,0,-0.509559,-0.792994,2.414954,0.818684,112.352882,675.778259
314,0,-0.515824,-0.817259,2.408435,0.011452,111.332802,675.247681
315,0,-0.513288,-0.796715,2.411158,0.261863,112.529839,675.494446
316,0,-0.508224,-0.760148,2.415637,1.264886,115.175148,676.381897
317,0,-0.499695,-0.698478,2.431166,2.281205,118.310043,677.061035
318,0,-0.499739,-0.684531,2.422201,3.203156,120.538879,678.236633
319,0,-0.502283,-0.661630,2.432010,3.171824,121.233353,678.706360
