Objects
100
,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
130,0,-0.288587,-0.211178,2.819880,28.743664,113.017128,674.235596
131,0,-0.303673,-0.144320,2.839465,29.703848,114.119034,673.343201
132,0,-0.291876,-0.135313,2.826278,30.192455,115.907562,673.090942
133,0,-0.308511,-0.159044,2.820887,30.613596,117.807785,673.689697
134,0,-0.267326,-0.185458,2.798466,30.765594,118.001534,673.270630
135,0,-0.279591,-0.136688,2.813271,30.503819,117.531326,672.658936
136,0,-0.274411,-0.147520,2.815881,30.126966,117.360939,672.991821
137,0,-0.288082,-0.149340,2.830709,29.836746,116.843803,673.033386
138,0,-0.301320,-0.141589,2.844303,28.771576,116.265358,672.928101
139,0,-0.278281,-0.196724,2.809256,28.924068,115.884171,673.265747
140,0,-0.280611,-0.200206,2.808871,28.859804,115.766113,673.249268
141,0,-0.278427,-0.195927,2.809606,28.977249,115.958748,673.128052
142,0,-0.317780,-0.125365,2.852180,28.983677,116.438248,672.798401
143,0,-0.298926,-0.164485,2.826998,29.639080,117.172852,673.085205
144,0,-0.284630,-0.136510,2.824910,30.045855,117.580055,672.686523
145,0,-0.284826,-0.164721,2.808215,30.058575,118.783661,672.871277
146,0,-0.289544,-0.172928,2.808558,30.326891,118.539650,672.924255
147,0,-0.275549,-0.168581,2.807677,30.208649,118.129715,672.614868
148,0,-0.286446,-0.193076,2.818728,29.832283,117.848694,673.139893
149,0,-0.289700,-0.195331,2.815510,29.397638,116.902817,673.085754
150,0,-0.297158,-0.188516,2.800887,28.765562,116.224693,672.958374
151,0,-0.292538,-0.200987,2.810360,28.566904,115.401222,672.990112
152,0,-0.305606,-0.234969,2.818596,28.196804,115.362915,673.351074
153,0,-0.303555,-0.228585,2.816904,28.080267,115.015503,673.222412
154,0,-0.328880,-0.209325,2.826634,27.900150,115.502792,673.662964
155,0,-0.319062,-0.205849,2.829592,28.127180,115.496552,673.747620
156,0,-0.297554,-0.211272,2.815135,28.310226,114.940582,673.110779
157,0,-0.304742,-0.204928,2.804164,28.524509,115.167168,672.942200
158,0,-0.312779,-0.188916,2.811970,28.699604,115.368477,672.982666
159,0,-0.311736,-0.187131,2.811830,28.784231,115.388916,672.995178
160,0,-0.300598,-0.195152,2.805301,28.787170,115.186256,672.921509
161,0,-0.315790,-0.192957,2.811790,28.715734,115.020508,673.136169
162,0,-0.294639,-0.208127,2.808826,28.723167,114.600510,673.170227
163,0,-0.326590,-0.211320,2.826248,28.441513,115.225052,673.776978
164,0,-0.331500,-0.202932,2.837546,28.443758,115.063087,673.968689
165,0,-0.342875,-0.205460,2.834677,28.322014,115.116959,673.904297
166,0,-0.324033,-0.201061,2.826295,28.430553,115.174957,673.644165
167,0,-0.292704,-0.214142,2.813365,28.590462,114.773445,673.309753
168,0,-0.300410,-0.214920,2.813728,28.467403,115.154930,673.270752
169,0,-0.304229,-0.211020,2.809786,28.537516,114.989120,673.355347
170,0,-0.300083,-0.213528,2.808532,28.353384,115.039902,673.569153
171,0,-0.303582,-0.233131,2.817009,28.254696,114.241196,673.685486
172,0,-0.330752,-0.201744,2.840290,27.786200,113.852516,674.004883
173,0,-0.334209,-0.215297,2.842472,27.274033,112.969078,674.209717
174,0,-0.329581,-0.212370,2.842926,26.899277,112.037399,674.186035
175,0,-0.334453,-0.228133,2.846918,26.526106,111.524231,674.342468
176,0,-0.335105,-0.229794,2.848047,26.354048,111.189445,674.367310
177,0,-0.334181,-0.227837,2.848013,26.375523,111.205528,674.376831
