x,y,z
-1.3851049696533266,197.4566407785528,-289.1745219676395
-2.5102659775556333,198.61822534083626,-288.2928655191506
-4.01672021137685,199.5522723041788,-287.02990186160105
-5.125056562974976,200.1408512353908,-286.43841209395214
-6.131146690062252,200.3009815977008,-285.6871286292803
-6.543758933166515,200.35854659884626,-285.2504881122261
-6.926896711911809,200.54503222998477,-284.75140382970244
-6.905834968792192,200.5257688588423,-284.718687850946
-6.458032321728609,200.5394459228807,-284.6307278343013
-5.9341730106851855,200.3649635112463,-284.89552033956784
-5.292231426674448,200.62979793499784,-285.01173318634005
-3.804683778082733,200.76634708014944,-285.0068988627347
-2.8138986537799724,200.95666296713364,-285.03269360773766
-1.7714676011313202,201.20871875858398,-285.2716062420102
-0.8597657812676403,201.70056073534766,-285.2986143193302
0.19256197385107043,201.74741138897156,-285.85600883397115
0.7668452835020787,202.2879898215851,-285.80012827291966
1.5092543986473856,202.50879179668783,-286.199573170496
2.119100390830738,202.74674395154773,-286.65356480211653
2.8663807444167446,202.96857563299494,-286.89389440757486
3.586090204886119,203.258493441305,-287.1665847704803
4.2676499144012325,203.51203141343558,-287.0340479807778
4.653297189953804,203.54073150711423,-287.18879070853836
4.812882333052215,203.72796018488282,-286.94050299352966
5.524836313363835,203.52321532987673,-287.49612932328546
5.883880333296787,203.35838700974296,-287.6303861480219
6.633628412874771,203.0507120317489,-287.74429383638994
7.426600499724572,202.7623354222814,-287.70863155510983
7.601186277344084,202.40612001452638,-287.65129398547265
8.432689490636108,202.04056294842434,-287.90482452326614
8.768080491982715,201.8466448090279,-287.79093312688474
9.115164778920075,201.5668617907881,-287.6002227787576
9.16181673386697,201.30518845224736,-287.5762955527887
9.737219066243142,201.1888911692086,-287.39504608056086
10.35963923952599,200.95900039521803,-287.33352740639157
11.034221219187543,200.70488740567106,-287.13011626784623
11.248942305061178,200.5374762022417,-286.93876174709317
11.368934879345488,200.3959070105526,-286.74589549114853
11.576563428668436,200.3049790334302,-286.3839764082909
11.539144099720858,200.23016698501607,-286.00007673147
11.810324044439994,200.11318921645778,-285.85364344027494
12.086773739258575,199.82827308547547,-285.5402663958655
12.38051943623347,199.7586430980548,-285.24608974441503
12.331350517325916,199.4747240320071,-284.93546457402135
12.642196142651215,199.21747289088012,-284.50594991573143
13.140163267360293,198.9073681283707,-283.8418308947216
13.42204917739511,198.7158374009145,-283.23378334105587
13.514409582849481,198.4270903018857,-282.3059759339176
13.893094251333451,198.1353509397286,-281.10770672975264
14.36898554574023,197.65555934783782,-279.71257497818465
14.746530173507125,196.88322764933025,-278.2455410623213
15.070046553106607,195.9756751881925,-275.9814745654205
16.349660035913843,194.44630071817642,-273.7665548680918
17.237860094896774,192.48821153086777,-271.3124791475859
18.24248993705342,189.88136752861226,-268.47921801798907
19.61882033094642,186.7694950295678,-265.4071775425898
21.353786733542364,182.928219722248,-262.28829823523847
22.71365879928956,178.67963472346577,-258.59774991458835
24.073744977226085,173.93374411088269,-254.47111858485528
25.73835655511752,168.20664449346532,-250.36606732331802
27.256162936308073,162.16652469064098,-245.49234495158112
28.747022660817294,155.34184239769735,-240.17788139610343
30.022454436681898,148.20230744198568,-233.8384272005253
31.660060228499418,139.8430098159791,-227.18975541365535
33.025793165401666,131.03873878453305,-219.14956965378565
34.140320948393565,121.29089221587941,-210.1843681765463
35.36936182559569,111.31256535244154,-200.26816561686655
35.95115663929246,100.99842552139046,-189.44823563709997
36.41884390885255,90.15386664271546,-177.1983601049933
36.569001319958005,78.94558422611317,-163.52387152788992
36.39434435361639,67.54311518771988,-148.23801035785982
36.335884875789276,55.676741710943475,-131.45123566951088
36.760211581161485,44.053660029895696,-113.18875377597033
36.50650145154654,32.59753305052277,-92.30256467380536
37.062689559536665,21.522922726534944,-69.57042923080735
37.82278198547138,11.11398837972763,-44.99219676353505
38.809540704345835,1.8179555785608272,-17.873834768072584
40.73231905933383,-6.193826805761546,10.786596596773506
43.14394710553924,-12.292939240363012,41.08605023908558
45.81185768486492,-16.339935663381993,72.63491022277867
49.43847100485718,-18.259398591258105,105.08145448079858
52.99850138786363,-17.72785263646017,137.82377914329027
56.84079259896001,-14.990636637964485,171.34683942001038
60.67103705586706,-9.614629321053712,204.2847223076534
64.86898526986343,-2.105621396247784,236.2851173335887
68.79386949663322,6.682731671404554,266.7037528801221
72.79188794166365,17.320177184531758,295.8563337676221
76.31789449204038,29.849339032983607,323.8236319994651
79.67106425048658,43.54148017520379,349.37488555918094
82.37760369380428,58.150005776098396,373.5516532726815
84.98144289054247,73.40369023320886,395.5375362061875
87.79632160086115,89.12238081612702,415.2256166804168
90.09557019778057,104.4344567657754,432.7621598087369
91.95643371328671,120.10948486347007,448.5152537761925
94.15093585342001,134.91728529291328,462.2299161971042
95.78442846600208,149.59681741758607,473.91796569913436
97.68770677222918,163.5281509525036,483.39035453873294
99.62503430704302,176.30015354827594,491.24802625377777
101.0110029375306,188.96219538471132,497.76619713851517
102.1712499592193,199.8343883780811,502.8820614640242
102.39299696428893,210.27922734136337,507.0063645959807
103.15657280476918,218.60451195801295,510.4098080182056
102.54258364674726,226.77700977134788,512.7283706170233
102.03496325068144,233.78026724373956,514.4251737340601
100.28525412755116,240.65080015756382,515.3626877711004
98.82060764049439,246.81963225396265,516.4721279037001
97.12010852711953,252.54384853144995,517.3071944240747
95.12207383538399,258.8880287660222,518.0696353654915
93.13242089840728,264.2569240969996,518.3342135592146
91.64528331585839,268.8882439955926,519.0391071576229
90.46267718502187,272.97702270913805,519.6609575787305
89.98773349180667,276.3184396079969,520.9135427085885
88.85529458279993,279.63633944332224,521.7599286605594
87.8017854408919,282.2880510947006,522.4859023936107
87.08644306140937,285.0235297730488,523.3482065443583
86.3026567107141,287.15719269136156,524.2347466170312
86.17769656771057,288.7174574927497,525.0355155542458
85.62169420057327,290.7617036422275,525.8039442780375
85.81959535393602,290.2313998314606,526.0072276865905
85.99564362389393,292.03662104835786,526.3512114814674
86.14199735754372,291.7023657156123,526.2942864332025
86.62988926092245,290.4202079934154,526.0977249632007
86.87502683122031,290.7437086417972,526.0735763657868
87.18428629284992,290.5436846136057,525.8299374301781
87.08517605840129,289.6728624632431,525.235706234721
87.48608906525541,289.3307103251966,524.7937354588902
88.47050680349892,289.7838532020461,524.5163837785524
88.80001073644164,288.51376149157085,523.9452196012107
89.37353700800011,289.0231207419886,523.322809400437
89.69894384921824,288.68998185876654,522.7140584319623
90.24013620941284,288.2277239020024,522.2331373358047
90.7017661634234,287.962879704235,521.6952763692046
91.05891638049215,287.42031456068776,521.381587941861
91.51472164257106,287.71529659215213,521.2088698749766
91.41371399003512,287.30419465820177,520.6989657135448
91.63918246293477,287.5505425177652,520.5522295840035
91.78801643745462,287.82782067577887,520.4893282603833
91.83734890122972,287.7477790956738,520.5978892571233
91.82572427266533,288.0290867635014,520.6176236880283
91.76888129513864,288.7045073026818,520.4917474164549
91.59384143586689,288.9450241252862,520.5454341615645
91.57401264505657,289.2970740636359,520.8460893480022
91.2714521847789,289.3152941340567,520.8973587653036
90.70001874071247,289.11937442255584,520.7409838636096
90.38398406415527,289.05362013318626,520.7766060382322
90.01802515843033,288.98030352791875,520.7879137527074
89.59265701958444,288.51377058964476,520.9394912392752
89.14345283733459,288.44174449391954,520.9366146819885
88.7021942396008,288.40697800807,520.9552288687471
88.27540253711098,288.8412615553508,520.9011632629337
87.88237617032158,288.7950931261154,520.8535413967666
87.52992394698734,288.7166957530422,520.7856513542638
87.64418898701697,289.0859489318141,521.0626765052464
87.25715200824263,288.7997301158309,520.7928348110025
87.22388846218544,289.224996487934,520.6498064995674
86.96256383289435,288.6115896496796,520.6095400058323
87.01025634492456,288.4189348443175,520.7275129878288
87.1185163347964,288.97836664645666,520.6347270076527
87.10716073977719,288.988683059462,520.6216443708978
86.79894503608725,288.493121603792,520.4154965519955
86.9161641403933,288.93132351838824,520.3993156924112
86.87673710578517,288.8697074554504,520.3714822582167
86.7257102999819,288.83309246704465,520.2349390761135
86.69572679181678,288.63851307433146,520.1526474436441
86.96352536531779,289.17312345915514,520.1971940505917
87.06023058081209,289.2188556980022,520.1093728083365
86.79330567042209,288.5368218470884,519.5951468969484
87.1390907434396,288.8017430873912,519.4708753278078
86.94031604815265,288.2728660428562,518.7606551206195
86.88899310489106,287.43285534378674,517.8698084832123
87.00893306951954,286.97579720814275,517.0286114678261
87.08763437858633,285.4914157709416,516.093397027193
86.91873750961187,284.0627757331287,514.9452777191967
86.16081122803146,280.22265945900773,512.3233097513794
86.40706864493697,276.5791992614725,510.05982600344623
86.67736050736775,271.2003467331748,507.17822271312025
86.78804514934043,265.58007545326586,503.7931427288727
87.34096953010672,257.6643424792529,499.320315481753
