Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
30,0,-0.096041,0.091635,-1.439865,-1146.557373,-70.718231,1137.852539,-0.020383,0.034915,1.389055,417.258789,-209.501862,1133.878296,0.118256,-0.261540,-1.496793,-1201.337402,40.856579,1338.339600,0.023530,-0.037153,1.536054,478.109192,-325.986084,1386.374390,-0.031033,0.324486,-1.289102,-1155.775757,-171.917908,1354.567261,0.182549,0.062252,1.593186,487.026886,-139.566315,1403.022705,-0.002377,0.027820,0.418504,-644.541382,-184.408417,1476.129150,-0.535091,1.184731,2.446585,4.719003,-54.683033,1446.977173
31,0,-0.096735,0.085308,-1.422992,-1146.542480,-70.145821,1137.665527,-0.020768,0.036298,1.390603,417.084900,-209.991653,1133.990845,0.121446,-0.272252,-1.494079,-1201.789795,41.316391,1338.114502,0.023735,-0.040783,1.540997,478.740173,-326.814178,1386.367065,-0.029103,0.319281,-1.289807,-1155.880371,-171.485535,1354.364136,0.179445,0.061820,1.597871,486.596313,-140.256577,1403.094482,-0.002687,0.013740,0.411854,-646.654846,-184.960052,1477.580444,-0.541484,1.197793,2.428928,3.285273,-53.208172,1444.620239
32,0,-0.100195,0.085987,-1.413737,-1146.646973,-69.663635,1137.612915,-0.019526,0.036706,1.392423,416.893829,-210.492294,1134.053589,0.120123,-0.262815,-1.492606,-1202.218628,41.857784,1338.095093,0.027565,-0.039742,1.543698,479.201904,-327.449158,1386.286377,-0.030177,0.316702,-1.288992,-1155.917236,-171.156296,1354.149658,0.151718,0.058426,1.584602,486.314911,-141.071854,1403.249634,0.004849,0.003459,0.420350,-649.677063,-185.291840,1479.193115,-0.543044,1.205168,2.417324,2.375726,-51.960777,1442.857666
33,0,-0.100953,0.088329,-1.411839,-1146.772583,-69.225113,1137.557739,-0.018880,0.036898,1.395341,416.759521,-211.040665,1134.055786,0.124130,-0.273251,-1.490455,-1202.416748,42.029842,1337.683228,0.029317,-0.035772,1.550560,479.681305,-328.098907,1386.228394,-0.034123,0.289575,-1.276858,-1156.482544,-170.778442,1353.518555,0.165213,0.066948,1.597829,485.795746,-141.416840,1403.047852,0.006639,-0.013688,0.424804,-653.868103,-185.670151,1481.108276,-0.541786,1.211855,2.409167,1.801838,-50.942627,1441.675781
34,0,-0.117790,0.108462,-1.407264,-1146.414185,-68.847908,1137.267456,0.007465,0.049806,1.406091,416.392395,-211.381088,1134.288574,0.123210,-0.273271,-1.493339,-1202.484985,42.243370,1337.453979,0.012386,-0.045625,1.539311,480.470703,-328.689972,1385.692505,-0.052781,0.281164,-1.262436,-1156.848389,-170.533127,1352.831543,0.174219,0.076063,1.608718,485.406403,-141.778854,1402.876099,0.009812,-0.031429,0.431786,-659.081726,-185.861404,1483.210449,-0.545775,1.212683,2.410679,1.717167,-50.303150,1441.008545
35,0,-0.119466,0.109821,-1.413015,-1146.552490,-68.633774,1137.122192,0.008399,0.051750,1.409376,416.204346,-211.895828,1134.309082,0.120581,-0.261394,-1.497658,-1202.447266,42.481136,1337.388184,0.024270,-0.039343,1.549432,480.503998,-329.028961,1386.011475,-0.055941,0.284818,-1.261019,-1156.561401,-170.015289,1352.419800,0.144808,0.071363,1.598899,484.711884,-142.589890,1403.135620,0.003880,-0.053697,0.433510,-665.299805,-186.110977,1485.338501,-0.538939,1.214458,2.414517,1.660329,-49.712040,1440.913818
36,0,-0.119962,0.111054,-1.419304,-1146.643311,-68.347839,1136.993164,0.008833,0.052505,1.412532,416.008362,-212.373611,1134.335083,0.118099,-0.264075,-1.503862,-1202.181030,42.553040,1337.119263,0.025017,-0.039219,1.551450,480.708160,-329.344788,1385.966919,-0.028257,0.298527,-1.269293,-1155.355225,-170.323502,1352.710083,0.125596,0.070286,1.597276,484.239166,-142.681061,1402.810181,-0.000846,-0.079850,0.435907,-672.426514,-186.303940,1487.495483,-0.534398,1.214585,2.421939,2.137434,-49.274147,1441.121338
37,0,-0.080286,0.100109,-1.507452,-1147.390381,-68.237564,1136.883179,0.010546,0.052705,1.417011,415.833801,-212.810272,1134.343506,0.111796,-0.262292,-1.507435,-1201.797363,42.531227,1336.859497,0.024946,-0.036294,1.555107,480.847260,-329.660645,1386.050293,-0.001328,0.259368,-1.273448,-1156.350830,-170.756287,1352.099243,0.115786,0.068494,1.593113,484.005676,-143.012192,1402.798462,-0.012742,-0.129809,0.412779,-680.077881,-186.434540,1489.397217,-0.533309,1.220857,2.434775,3.241446,-48.947960,1441.675293
38,0,-0.078897,0.093576,-1.499681,-1147.604858,-68.173508,1136.713623,0.017990,0.044584,1.425295,415.612244,-213.313446,1134.489502,0.113585,-0.258611,-1.514086,-1201.412964,42.350220,1336.618286,0.026055,-0.034440,1.558126,480.958923,-329.857330,1386.039185,0.022140,0.227135,-1.270707,-1156.995117,-171.107254,1351.688477,0.112615,0.068224,1.594538,483.661011,-143.142990,1402.640991,-0.013959,-0.154414,0.417897,-688.726868,-186.894943,1491.406250,-0.515050,1.209595,2.444931,4.598253,-48.603096,1442.400391
39,0,-0.083295,0.095270,-1.516905,-1147.664185,-68.111343,1136.513428,0.023679,0.049343,1.430187,415.390625,-213.874146,1134.627197,0.114554,-0.255503,-1.520145,-1200.960815,42.183334,1336.443359,0.026665,-0.031529,1.561280,481.017578,-330.022705,1386.048218,0.015511,0.231442,-1.273327,-1157.543701,-171.680237,1351.001709,0.110459,0.068729,1.593545,483.319946,-143.212723,1402.466797,-0.035499,-0.165671,0.455653,-698.431519,-186.650894,1492.889404,-0.518243,1.232141,2.452198,6.612731,-48.102615,1443.606934
